text,emotion
I just want to scream to get all this anger out.,anger
I feel on top of the world right now.,joy
I feel like I am about to explode from all this anger.,anger
I get so anxious thinking about everything I need to do.,anxiety
I am tired of always being the one to clean up others messes.,anger
It is so annoying when no one listens to me.,anger
My heart is full of joy after spending time with family.,joy
Every moment feels like a constant struggle to keep up.,stress
"I am so upset, I do not know how to calm down.",anger
"I feel like my chest is tightening, and I can not breathe.",anxiety
I get so tense whenever I face a new situation.,anxiety
The pain of this moment feels unbearable.,sadness
I feel like there is not enough time in the day to do anything.,stress
I feel like I am failing at everything I try. It is so demoralizing.,sadness
I feel anxious even when I have no reason to be.,anxiety
"The deadlines are killing me, and I can not catch a break.",stress
I can not believe the way they treated me.,anger
I can not see the light at the end of this tunnel.,sadness
I feel like I have lost something I can never get back.,sadness
"I feel so lonely, and I do not know how to fix it.",sadness
I feel so warm and fuzzy thinking about my loved ones.,joy
I am so inspired by the success I have achieved today.,joy
I am beaming with happiness for all the good things happening.,joy
I feel so lucky to have such amazing opportunities.,joy
I feel so angry when people don not respect my boundaries.,anger
It hurts to think about how much I have lost.,sadness
I am terrified of failing and letting everyone down.,anxiety
I have no energy left to keep going.,stress
I feel so nervous when I am asked to speak in front of others.,anxiety
I feel like I am about to snap from all this rage.,anger
I am loving every second of this experience.,joy
"I feel on edge, like there is always something more to do.",stress
This is the best day ever!,joy
I get nervous just thinking about social situations.,anxiety
Everything I have dreamed of is coming true!,joy
